time,Lat_Prim,Long_Prim,DeltaLat_Hiiaka,DeltaLong_Hiiaka,DeltaLat_Hiiaka_err,DeltaLong_Hiiaka_err,DeltaLat_Namaka,DeltaLong_Namaka,DeltaLat_Namaka_err,DeltaLong_Namaka_err
2453397.162,26.64317912003066,191.24085700018892,-0.5579668381088254,0.2931227581864597,0.013545183972291342,0.011814187949019646,,,,
2453431.009,26.656801016277296,191.3314356996759,-0.7919724824361651,0.6836527984082807,0.022597704635237758,0.019766896724074223,0.4835546833092508,-0.20969179410084196,0.029237928457269618,0.025432978934971522
2453433.984,26.65800293264157,191.33939959821188,-1.008211942578896,0.832545737611447,0.019627596592665105,0.017189385207100123,,,,
2453518.816,26.691909352519783,191.56658542047577,0.524406545707734,-0.3071491487631719,0.00975343004496457,0.008522538656727181,,,,
2453551.81,26.705013161094094,191.65500791499576,0.39171753110309737,-0.3946496749017684,0.009505743083932004,0.005169941709975833,-0.6136134940575744,0.2356136457411269,0.038566955755185255,0.03408740887709141
2453746.525,26.78137036292963,192.17743935269473,0.1880569769539875,-0.31198824781276285,0.002498833454095052,0.0021867362556443094,-0.1536450887670071,0.11512290712457013,0.002618404737922357,0.002277311145961298
2453746.554,26.781388477693785,192.177511180848,0.19243332572216332,-0.31611572115006065,0.0024932486737185167,0.0022086959639342004,-0.15864657325437292,0.1144599835314768,0.0026154135852806495,0.002282356534153878
2454138.287,26.9298651679351,193.23155515004015,0.11411961197467235,-0.28276429931073954,0.0019492341143657482,0.002072118297912616,-0.530568762607686,0.2102849010827228,0.003725374730940773,0.005731777594327174
2454138.304,26.929871540931757,193.23159831434148,0.11508773238091408,-0.2836832426938833,0.001957008356111612,0.000984392180112834,-0.5290762649622138,0.20434663005555198,0.00749022516465361,0.0029610387492697596
2454138.351,26.929890659867016,193.2317278072924,0.12299694512165615,-0.29144900585993555,0.00210901885406346,0.002480075148925725,-0.5212605329901976,0.20189930511299772,0.005432060100084488,0.004537326463029426
2454138.3680000002,26.929897032850924,193.23177097161613,0.12463755953717737,-0.2909487179413627,0.0022483294085618184,0.001697190407619721,-0.5234934309655159,0.2015452208319854,0.0064553331356777596,0.004340532840626242
2454138.418,26.92991090632638,193.2319147124315,0.13148955966926223,-0.29736041936328106,0.0026857908984209305,0.0011962913382587484,-0.5103582799890205,0.1956146280553612,0.0037005063569416656,0.0032692789798833746
2454138.435,26.929917279296415,193.23195787677835,0.13480284991942426,-0.29604521639208503,0.0025358535954405834,0.002679820567390185,-0.5110916405740795,0.19970776594138276,0.005164582783406819,0.004797733028667671
2454138.484,26.92993639816955,193.23208736985922,0.1410462610323293,-0.30290668120135444,0.0021909293484360243,0.0014047121407943456,-0.4989879051649382,0.19226742645973793,0.012766458558589176,0.007522011706373481
2454138.501,26.929942771126825,193.2321305342285,0.1441734477722889,-0.3041952598596144,0.002933529609841384,0.0026255826148808173,-0.5031500770968478,0.1913566739901284,0.004073189884124462,0.004422566263978393
2454138.551,26.929965762721352,193.23226966625086,0.14876968363779497,-0.3102814964190185,0.002226342079535824,0.0013775053226502939,-0.49807569858586476,0.18684278570058055,0.00567370977173964,0.0043532403348870655
2454138.567,26.92997213565627,193.23231283064746,0.15397509490782113,-0.31048814981485356,0.0022292332676677093,0.001756868329473632,-0.4953333795100434,0.1839943026596622,0.0046435473262232,0.002648809400942099
2454469.653,27.049930950760835,194.12583996696267,-1.0654694846081725,0.7378649841720128,0.008042091932823294,0.0040539717443860025,-0.2704477657886173,0.09483869403631229,0.00820131554240354,0.005910520384825276
2454552.897,27.079270732702284,194.35084680602594,-0.01830676758345362,0.22655569075219625,0.009426148660186486,0.007893366418813733,,,,
2454556.929,27.080687152085662,194.36175167765765,-0.5681678199536577,0.6146804928464804,0.0053829172250814275,0.003994046509301851,-0.6983719518970588,0.3170613807833826,0.012580975743218058,0.010545103941914982
2454556.9480000003,27.080697292243016,194.36180466687702,-0.5695058245919427,0.6194308044309134,0.007451620324319473,0.007499274914914385,-0.6914398374689767,0.32406276162477604,0.012682864827944427,0.01611184015936951
2454556.963,27.08069972428241,194.36183829443257,,,,,-0.7026152328492685,0.32045939530133416,0.012496557096985484,0.010418190758736465
2454556.964,27.080703578329192,194.36184797527204,-0.5739862141041385,0.6203384600366147,0.004844185171417141,0.005509006260586748,,,,
2454557.004,27.080714728419238,194.36195853882123,-0.5774014660573812,0.624878040403546,0.005732050608250416,0.0036350214693998593,,,,
2454557.005,27.080714728428987,194.3619585388181,,,,,-0.7009184394618728,0.322735132284931,0.008969972792891757,0.009917666133891664
2454557.02,27.080721014493093,194.36200184723538,-0.5775773005723295,0.6243868734935705,0.004603888293816114,0.0032672880558884503,-0.7010044787847391,0.3142610271581383,0.009923589238329414,0.007812049159642251
2454557.039,27.080727300592752,194.36204515564575,-0.5775516653983459,0.6267964956344168,0.009224931598357598,0.0064797246356497725,-0.6982897814026501,0.3230276400672642,0.015132745157087237,0.014974689306286926
2454557.058,27.080728310499566,194.36210272998457,-0.5802897621748571,0.626234870344456,0.008474099239947333,0.007428854473978111,-0.6872583491102091,0.32405486860981775,0.015202025510755576,0.007735329297688048
2454557.074,27.08073459656187,194.36214603841623,-0.5836022254001705,0.6231145250317673,0.013924521106011589,0.01215278140135014,-0.6925096922145713,0.31669615898273323,0.013743573039135029,0.01369435671634393
2454557.091,27.080740882630465,194.36218934685033,-0.5867476803302907,0.6306340549219405,0.0070886293788802665,0.006659461577231663,-0.6985341336019246,0.3200799578689907,0.008338277426282212,0.012518524050450359
2454593.726,27.093544174011367,194.46125687320162,0.9206058660481631,-0.6117688690240913,0.0041903034486717285,0.0031243988692708047,-0.6918737972426925,0.3117983681640463,0.007471417061087385,0.005085602550636348
2454600.192,27.095788906226673,194.47874256373996,0.20016194689560507,0.029395213547294304,0.004265220363180568,0.00429480097772108,0.1725422907654206,-0.10255235780295413,0.011166328847319046,0.005158035312407357
2454601.99,27.096420252455193,194.48360750403373,-0.04412922733791902,0.2209828380443272,0.0051407865155307705,0.006085497723127567,0.4492048200802401,-0.22579526564514169,0.006107630204791749,0.0052461853271836625
2454603.788,27.097038571212764,194.48846740901234,-0.29979548383636256,0.4068754659870942,0.005518386127340121,0.0023918610393437807,0.5395730240721264,-0.2539003717885809,0.0047499119077612905,0.003239922249620376
2454605.788,27.097734576001475,194.49388092181061,-0.5670043224824894,0.5799058419153011,0.009298405109536364,0.004690620739084341,0.27319810977957104,-0.1219736990708243,0.005981562083427031,0.003859260869202599
